Title,Article
School Kids Sing for Health Care Reform On CNN,"Here is the video of kids from Atlanta's Ron Clark Academy singing about health care reform.                                            ADVERTISEMENT                                    
                

            
                                
                

            
                Share your thoughts on this video. Click on ""Leave a Comment"" below."
"Manipulation, Payoffs and Lies -- The Democrats' Endgame On Health Care","Democrats have convinced themselves that it would be far worse to do nothing on health care than listen to the concerns of the public. And they have demonstrated they will stop at nothing to get some form of legislation passed – even using the House Rules Committee to draft a new rule that would make it possible for Speaker Pelosi to pass the bill without an actual vote!

This jaw-dropping abuse of power has appropriately been labeled the “Slaughter Strategy” after Rep. Louise Slaughter (D-NY) the tactic’s chief architect and a close Pelosi ally. It would give members of the Democratic Caucus cover. Why, you ask? Because it would skip the step that would force our lawmakers to place an “aye” vote next to a radioactive, unpopular piece of legislation that they will have to defend until Election Day in the fall.

This type of manipulation of government process might be the most perverse we’ve seen to date.

Why are they doing this, you might ask? Pelosi needs to employ any game plan she can to get her way since she’s poised to lose about a dozen members over the issue of federal funding of abortion. Though Bart Stupak, and others, will hold firm, there are members of Congress who will cave in to the Speaker’s wishes from pressure. Think of it this way: the vote on health care reform will be the defining moment that showcases who the true pro-life Democrats really are.

The White House will also help Speaker Pelosi any way it can to drag the bloody body that is the health care bill over the finish line. The Associated Press reported on Friday that though Obama has railed against the ""ugly process"" of cutting special deals, the president and his top advisers were prime time players in negotiations on the agreements to win votes and move the legislation forward.

So what exactly will they promise the members to get their way?                                            ADVERTISEMENT                                    
                

            
                Answer: A lot. And a lot of those promises will include various ways to spend your money.                 
                

            
                As of now, the votes for passage aren’t there. No less an expert than the House Democratic Whip revealed that the party is short of the votes on Sunday’s “Meet the Press.” This is despite Pelosi’s intentional deception to portray the picture as otherwise last Wednesday when she insisted she would have the 216 needed for victory if the bill was brought to the floor. But that was a lie; if she had the support necessary we would be watching a vote on C-SPAN. You’ve gotta believe that the second she hits the magic number, a vote will immediately be called.

This week will reveal the harsh reality of corruption in the Democratic leadership. All of the Democrat’s lip service on “change you can believe in” (Obama) and “cleaning up the swamp” (Pelosi) will be exposed as hollow and untrue. No matter the cost – financial or political – the left is prepared to do whatever it takes to score a win. But that’s the thing about cost, eventually you have to pay. And pay they will.                 
                

            
                Sadly, so will we.                
                

            
                Andrea Tantaros is a conservative columnist and FoxNews.com contributor. Follow her on Twitter @andreatantaros.                
                

            
                Fox Forum is also on Twitter. Follow us @fxnopinion."
"A doctor, not a bureaucrat, should be in charge of Health and Human Services","Now Playing                            Obama pays tribute to Sebelius, announces replacement                                                                                                
				    
			
		 

    






                        






    
        
        
        
            
                ""The torch has been passed to a new generation of Americans,"" Jack Kennedy famously said in his 1961 inaugural address, a phrase once swollen with optimism and American pride.                                              ADVERTISEMENT                                    
                

            
                It may be tempting for President Obama to use this same expression now to describe Health and Human Services Secretary (Baby Boomer) Sebelius handing off the HHS secretarial torch to her apparent (Generation X) replacement, Sylvia Burwell, but such a sentiment would be false optimism.                
                

            
                [pullquote]                
                

            
                It is time for a physician or an expert in health care to administer Health and Human Services, not another numbers-massaging manager, no matter how able.                 
                

            
                It is easy to forget that Secretary Sebelius was once Kansas Insurance Commissioner. This qualified her to administer health insurance, not health care.                 
                

            
                Though she certainly helped to fumble the ObamaCare website rollout, an even greater misdeed was her inability to anticipate how the arrival of ObamaCare could translate into less care and less access and higher premiums for those who already have insurance.                
                

            
                HHS stands for ""Health and Human Services,"" not Health and Insurance Services. Only a doctor who deals with ObamaCare every day can attest to the problems the growing insurance bureaucracy pose to actual patient care.                 
                

            
                Here are some actual questions that come up in my office:                  
                

            
                1. Is that patient eligible to see Dr. Siegel or is his insurance expired?                 
                

            
                2. How come Dr. Siegel is listed as a Blue Cross provider but is not part of the Blue Cross network for policies offered on the state exchange?                 
                

            
                3. Can Dr. Siegel's patient Victoria Scott afford the care she needs for her thyroid condition when she has a whooping deductible (almost $6000) on her Bronze plan?                
                

            
                It hardly matters to doctors and their patients what the cumulative numbers are for new enrollees on the state exchanges, and how many of these folks were actually uninsured beforehand (the latest RAND data suggests less than half). What matters most is what kind of care these patients can get and at what cost, and whether we doctors can still afford to take care of them.                
                

            
                Sylvia Burwell said at a recent Atlantic magazine event that the Affordable Care Act “is about improving access…about improving the quality of health care.”                 
                

            
                Unfortunately, there is no evidence that the new law does either one.                
                

            
                Contrast Burwell’s abstract statement to the practical wisdom of Senator John Barrasso, M.D., a practicing orthopedist for many years and former Wyoming Physician of the Year.                 
                

            
                He wrote in Investor’s Business Daily about how ObamaCare interferes with the real world doctor/patient relationship: “I continue to hear from my patients in Wyoming. They have always had my home phone number. They are anxious and angry. They know what they wanted from health care reform: access to quality, affordable care…That's not what they got with this law. Now, many face losing the doctor who has always been there for them.”                
                

            
                Dr. Barrasso would make a terrific HHS secretary, unfortunately, President Obama would likely never consider such a move.                 
                

            
                Sylvia Burwell may be a capable budget director, and her track record with the Clinton administration, the Gates and Walmart Foundations certainly shows that she is an able politician, but where is the evidence that she can manage a health care system that is becoming more complex by the day?                
                

            
                In the era of personalized health care, where genetic advances in cancer research and risk assessment predict both diseases and their expensive treatments on a patient by patient basis, the one-size-fits-all insurance model is becoming increasingly out of date. The more complex our health care solutions, the more unaffordable or inadequate ObamaCare will be.                
                

            
                Sylvia Burwell may do a better job presenting the latest insurance numbers to the public, but she will be no more qualified in deciding whether an 11-year-old like Sarah Murnaghan should get a life-saving lung transplant with adult lungs than Kathleen Sebelius was.                
                

            
                HHS needs a physician or at least a bio-engineer to navigate through the treacherous ObamaCare waters, not another insurance expert to sell us yet another policy to cover our mammograms and our colonoscopies even as our collective ship sinks                
                

            

            
                
                    
                
                


 

	Marc Siegel, M.D. is a professor of medicine and medical director of Doctor Radio at NYU Langone Medical Center. He has been a medical analyst and reporter for Fox News since 2008."
House Democrats Put Nail in Health Care's Coffin,"Yesterday morning the first thing I heard was that Speaker Nancy Pelosi and Congressman Steny Hoyer had written in USA Today that the protesters of health care reform don't want the facts and that the protests are un-American.                                            ADVERTISEMENT                                    
                

            
                I had one thought:                
                

            
                Oh no they didn't!                
                

            
                I figured that maybe the headline writer had gotten ahead of himself, ""over-wrote"" the story, as we in media relations complain about sometimes. But no -- it was a direct quote. And, with that one adjective, the House Democrats probably have sealed the bill's fate: failure.                
                

            
                The Democrats have been so tone-deaf on this issue that they just can't believe their eyes and ears -- they can't believe that people actually don't want the reform they're pushing.                
                

            
                Beyond seeming to have lost touch with the heart and soul of America, they almost seem offended that anyone would question their proposal, express indignation when asked how much it would cost, and nearly burst with frustration because don't you realize we've been fighting this battle for decades and we already answered these questions and that the moment is here and we can't just let it pass us by?!                
                

            
                Last month when the Democrats first started pushing back at the protesters, they insulted their intelligence and their individualism. Since that wasn't working, they took it one step further and insulted their patriotism. Advice to Democrats: stop digging.                
                

            
                The leaders in the Democratic party have a responsibility to lay out clear proposals and to explain them fully. If they can't do that, that's not the fault of Americans who are worried about the consequences of just putting their trust in Washington, D.C.                
                

            
                And so, where to they go from here? Unless they are willing to apologize for the insult and offer to listen for once, they'll be rubbing salt in the their self-inflicted wound.                
                

            
                Does their health care plan cover that?                
                

            

            
                
                    
                
                


 

	Dana Perino currently hosts FOX News Channel’s (FNC) The Daily Briefing with Dana Perino (weekdays 2-3PM/ET) and also serves as co-host of The Five (weekdays 5-6PM/ET). She joined the network in 2009 as a contributor. Click here for more information on Dana Perino. Follow her on Twitter@DanaPerino."
Obama Plays By Chicago Rules In Health Care Fight,"AP
	                        
	                    
	                
                
            
        
    

    


                        






    
        
        
        
            
                President Obama has called for honest, bipartisan negotiations to produce legislation that will show America the way out of its current health care crisis. But as far as Thursday’s White House summit on health care is concerned, he’s still operating by Chicago rules. He wants Republicans to meekly submit to his team’s plan rather than honestly inviting them to join him in building a bipartisan plan from the ground up.                                            ADVERTISEMENT                                    
                

            
                Led by House Minority Leader John Boehner, the GOP has made one request of the president in the weeks leading up to the summit: that everyone concerned start over again from the beginning, that they agree to drop the legislation pending in Congress in lieu of making a fresh start in which all sides will have input. On Monday President Obama revealed how unwilling he is to move toward the GOP, by introducing yet another massive proposal that not only reinforces many of the elements of governmental intrusion into the health care economy that the Republicans have already rejected but, in the words of several commentators, “doubles down” on what the Democrats in Congress have already thrown up for consideration. Perhaps that was the lesson he drew out of his recent trip to Las Vegas, but it’s not a good strategy for Washington. It is not negotiation in “good faith” so much as it is as an effort to force the Republicans to deal.
It’s a desperate gambit, and one that is not likely to work.                
                

            
                As Megan McArdle wrote yesterday in The Atlantic, in order for the new Obama bill to have a chance, Pelosi has “to persuade someone (probably a Blue Dog) to vote for it, who already voted against it. Progressives have been making the almost-plausible argument that the public is going to treat a vote for the House or Senate bill as a vote for final passage, so Democrats might as well go ahead and pass the thing. But their best argument totally falls apart for those who originally voted “no.” But Pelosi, as McArdle acknowledges, is three votes down from where she was when the House passed the health care bill the last time – by a margin of three votes. There is now no margin left, and that’s before taking the abortion issue into account. The new Obama bill not only doesn’t contain any of the House or Senate provisions to prevent tax dollars from funding abortion, but it actually includes a monthly “abortion premium” fee. This affects the political calculations related to the bill’s potential passage.                
                

            
                A number of Democrats, following the lead of Michigan Democrat Bart Stupak, have said they are unwilling to vote for any health care bill that lacks tough anti-abortion language. As McArdle puts it, “If you lose many of the Stupak folks, then the bill's done; there is not a snowball's chance in hell that you are going to persuade any significant number of the prior ‘no’ votes in the Democratic caucus to throw their careers on the pyre of Democratic health care ambitions.”                
                

            
                Knowing that, the Republicans should not grovel before the insistent majority, but should instead put up a strong defense of their own position. This should include paid media campaigns for the benefit of the folks back home to let the voters know the GOP actually has a number of ideas that will successfully address the problems that currently exist in the health care system without destroying it, as Obama’s new proposal would do.                
                

            
                Independently, several pro-life organizations like Let Freedom Ring are planning to do likewise. We will measure public support for the single-purpose health care reform proposals put forward by various GOP members of the House and Senate, especially those originating in the Republican Study Committee under the leadership of Dr. Tom Price. Yes, Dr. Price, Dr. Gingrey, Dr. Broun, Dr. Boustany and Dr. Coburn are among 12 physicians who are Republican members of the House and the Senate. -- compare that number to the 5 physicians who are Democratic members of Congress -- itself an intriguing contrast.                
                

            
                Even though the structure of the so-called summit is designed to produce anything but an honest negotiation, Republicans can still win by refusing to submit to demands to sign onto the latest iteration of the Obama-Reid-Pelosi health care takeover. Some Republicans may refuse to participate at all as a matter of principle. Others may walk out when it becomes clear to any observer that the exercise is rigged. Those remaining should stand strong and refuse to submit to the iron fist of Rahm Emanuel that lies within the velvet glove of President Obama.                
                

            
                Colin Hanna is president of Let Freedom Ring, a public policy non-profit that promotes Constitutional government, economic freedom and traditional values at www.letfreedomringusa.com.                
                

            

            
                
                    
                
                


 

	Colin Hanna is President of Let Freedom Ring USA, Inc., a non-profit public policy organization committed to promoting constitutional government, free enterprise and traditional value, and currently engaged in a project to sunset the tax code."
It's No Accident -- Why Goldman's Suddenly Getting Grilled,"While they still have total control of Washington, the Obama administration and congressional Democrats have been working feverishly to pass a financial regulatory reform bill that would give the federal government expanded powers over Wall Street. At the same time, the Securities and Exchange Commission (SEC) has launched an investigation into Goldman Sachs and one of its vice presidents for defrauding investors by misstating and omitting key facts about a financial product tied to subprime mortgages just as the U.S. housing market was beginning to falter. Most recently, in an outrageous abuse of power, Senator Carl Levin (D-Mich.) released internal e-mails from Goldman employees, the same week Goldman execs are slated to testify on Capitol Hill, and on the same week that Democrats make their final push to pass the financial reform bill.
If you think there are coincidences in Washington when it comes to timing, think again.                                            ADVERTISEMENT                                    
                

            
                Presidents are always in need of enemies. Bill Clinton had “the vast right wing conspiracy.” Obama has the Tea Party movement, and Wall Street – and he is using Wall Street, namely Goldman, as a paper tiger to help build support for financial reform. It should be noted that though both Republicans and Democrats have taken money from the firm, Obama is the highest recipient of Goldman donations by almost $1 million. By taking their money with one hand, and spanking them with the other, Obama is sending a message to other Wall Street firms that they better line up behind his reform or else they’ll be next to get an SEC shakedown from a politically-tainted prosecution.                
                

            
                Government has always had these massive powers, but it’s never used them in such a grossly abusive manor to impugn the private sector to arguably get legislation passed so quickly. The fact that Senator Levin released private emails should have us all worried. What’s to stop Congress from releasing any private e-mails to the public from any company it seeks to punish? Were the e-mails showing shameful behavior? Yes. Goldman staffers were boasting about making record profits off of the mortgage crisis. But there is no evidence that the actions mentioned in the e-mails were illegal. And it seems highly unlikely that government can legally tear down an entire company based on a couple low level employees. However, the more control Washington has over private business, the more we can expect to see Congress butt into their business, illegal or not, and it won’t stop with the financial sector.                
                

            
                This is an issue of power over privacy. And it doesn’t help Obama and Democrats, no matter the motive. This investigation only fuels the public distrust of Washington and bolsters the anti-incumbent sentiment embodied by the tea party movement and many independents. Think about the rage against how the process went down when it came to health care reform. Now we’re seeing the public question the process yet again with regard to the timing and motivation of the investigation and the leaked e-mails, as well as the speed in which the legislation is being shepherded through the Hill when it comes to financial regulatory reform.                
                

            
                Nobody wants the street to run wild, but we must make sure that in an effort to regulate Wall Street, we don’t end up destroying it. Sure, Wall Street has been ethically challenged, but the real root of bad behavior began in Washington. It’s time we get access to their e-mails.                
                

            
                Andrea Tantaros is a FoxNews.com contributor and conservative commentator. Follow her on Twitter @fxnopinion.                
                

            
                Fox Forum is also on Twitter. Follow us @fxnopinion."
8 Truths -- and the Consequences -- In Obama's First Year,"It has been almost a year since President Obama was sworn in as our nation’s fourty-fourth president.                                            ADVERTISEMENT                                    
                

            
                The hype over the “Obama brand” and the promise for “change” was deafening from Obama supporters and much of the media leading up to and after the inauguration.                
                

            
                Now, after a year in office it is fair to take a look back at the president’s record and match truth to consequence.                
                

            
                Here is a list of key issues for the Obama administration:                
                

            
                The Closing of Gitmo                
                

            
                Truth: One of Obama’s first acts as president was to sign an Executive Order on January 22, 2009 ordering the closing of the Guantanamo Bay Naval Prison as a U.S. detention
facility. In his remarks on that day, the president promised that Guantanamo would be closed within his first year in office.                
                

            
                Consequence: Guantanamo is still open and the administration has found it difficult to come up with a viable alternative to the facility or what to do with the detainees they now seek to detain or release.                
                

            
                The Economy                
                

            
                Truth: The president’s first major piece of legislation was the now infamous $787 billion dollar “Stimulus” bill passed by the Senate in February 2009. This was the bill that admittedly most legislators did not read before voting on it – the one with no transparency. Passage of the bill was demanded by the president, who said that time was of the essence to save jobs. The president promised that the bill would prevent the nation’s unemployment rate from rising above eight percent.                
                

            
                Consequence: Most of the stimulus money remains unspent. Unemployment has topped 10% nationally since the stimulus bill was passed and in many urban areas tops 16% and is rising.                
                

            
                Foreign Policy:                
                

            
                Truth: The president promised that with his unique persona and his “new style” of governing that he could unilaterally convince all those who don’t like us, to like us. He convinced his believers that all he needed to do is “change the tone” and dictators in countries like Iran and North Korea would abandon their nuclear weapons programs and that terrorists would stand down. The president promised a new era of global cooperation on “global warming” and predicted he could bring historic global agreement.                
                

            
                Consequence: The world is a much more dangerous place since Obama took office. Iran has escalated their nuclear weapons program and North Korea has not abandoned theirs. No headway has been made in the Middle East peace process. Talks broke down on “global warming” in Copenhagen in December and no concrete agreement was delivered as promised by the president. As a consequence no progress was made domestically on passage of cap-and-trade legislation.                
                

            
                War on Terror:                
                

            
                Truth: Immediately after taking office and in the months following the inauguration the Obama administration actively made a point of removing the words “terrorism” and the “War on Terror” from their public speech. Instead they choose to call acts of terrorism – “man-caused disasters.” The president went on what I can only describe as an “apology tour” which he kicked with the first sit-down interview of his presidency on Al Arabia television in which he pandered and apologized for past American aggressiveness.                
                

            
                Consequence: The foiled Christmas Day terrorist attack on a Northwest Airlines flight over Michigan forced the president, albeit several days later, to acknowledge the obvious -- there is indeed a “War on Terror.” And it does not matter who our president is -- radical Islamists seek to destroy America, today, tomorrow, next year or even a decade from now.                
                

            
                Transparency:                
                

            
                Truth: President Obama promised that a hallmark of his administration would be transparency. This is some of what he promised:
“We’ll have [healthcare reform] negotiations televised on C-SPAN, so the people can see who is making arguments on behalf of their constituents and who is making arguments on behalf of the drug companies or the insurance companies.”                
                

            
                Consequence: To date there have been NO televised negotiations on health care, the “stimulus bill,” cap-and-trade or any other major piece of legislation being advanced by the Obama administration and the Democratically-controlled Congress.                
                

            
                Immigration:                
                

            
                Truth: President Obama promised to make immigration reform a top priority in his first year.
Consequence: President Obama has done nothing on immigration reform in his first year, other than traveling in August to Mexico where he announced he will take no action on comprehensive immigration reform until 2010.                
                

            
                Health Care:                
                

            
                Truth: President Obama demanded health care be passed before the August 2009 Congressional recess and said that he would not sign a health care reform bill without a “public option.”                
                

            
                Consequence: Health care legislation was NOT passed in August and it still has not been passed. It is clear that the public does not want a “public option” and now the president has abandoned that requirement. Democrats -- NOT Republicans -- have been the one and only reason that a health care bill has not passed and thus not signed by their party’s president.                
                

            
                Our National Debt:                
                

            
                Truth: During the 2008 campaign then-candidate Obama was highly critical of the national debt. He vowed to “take a scalpel” to the national budget and to make it a top priority to reduce the nation’s debt.                
                

            
                Consequence: The president has already quadrupled the nation’s deficit thanks to his failed “stimulus bill.” This year the deficit has increased by almost $1.8 trillion dollars and is likely to increase by a trillion dollars a year for the next ten years.                
                

            
                A year ago many believed that Barack Obama was the only politician able to solve the problem facing America. They believed he had all the answers and were mesmerized by his powerful oratory and presence. They believed that all he had to do was address an issue and it would be settled. Supporters saw him as a leader with extraordinary powers and they spoke of him in awe and hushed tones.                
                

            
                The reality is that the president is not all that. He is a person who is not into “heavy lifting.” For my money, he never was. It’s my belief that he ran for a state senate post in Illinois so that he could run for a seat in the U.S. Senate. He ran for a seat in the U.S. Senate and then within 2 years of being elected to that post ran for president! He hasn’t spent much time governing although, no one can argue, he is one hell of a campaigner.                
                

            
                The problem now is that Obama -- the candidate -- has reached the end of the political line. He, and the advisers who surround him, never grasped the fact that the campaign was over, that the time to govern has arrived. Instead of taking the reigns of power, he ceded his power and authority to Harry Reid and Nancy Pelosi. What we got out of this deal was a disastrous “stimulus bill” that was rammed through the Congress and a manufactured “crisis” on health care that has paralyzed our government for the past 10 months.                
                

            
                In short, the reality is that our president is just a mere mortal. He has been seriously overrated in terms of both his competence and ability.                
                

            
                He has not delivered on the “change” he promised -- not because he doesn’t want to, but because he doesn’t know how too.                
                

            
                Reluctantly, many Americans have finally gotten wise to the fact that politically, their president, just like the emperor in the the fairy tale, has no clothes.                
                

            
                Bradley A. Blakeman served as deputy assistant to President George W. Bush from 2001-04. He is currently a professor of Politics and Public Policy at Georgetown University and a frequent contributor to the Fox Forum.                
                

            

            
                
                    
                
                


 

	Former deputy assistant to President George W. Bush"
Obama's Most Important Appointment,"This past week a number of United States Government Web sites were hit by a ""Distributed Denial of Service"" attack. The attack effectively silenced these agencies presence on the World Wide Web. While this is mostly an inconvenience -- since the ability to access a Web site rarely impacts our day-to-day lives, it shows that our systems are vulnerable, and may just represent the tip of the iceberg in the murky world of cyber-attacks.                                            ADVERTISEMENT                                    
                

            
                The attacks in the U.S. seemed to coincide with cyber-attacks against South Korean government sites with North Korea test firing a number of new short to mid-range missiles. As of July 9, the federal government has not publicly attributed these attacks to a country or organized group of hackers. However, it has been reported that the Russian military utilized cyber-attacks in their recent foray into Georgia, and last year the country of Estonia was effectively shut down under the weight of similar attacks. With this in mind, it's easy to see that cyber-space is a new battleground, and understand why it is important that the United States Government take action to address the inherent vulnerabilities that exist in our country's critical infrastructure.                
                

            
                On May 29, President Obama announced the creation of a cyber czar. More importantly, President Obama was wise enough to understand that cybersecurity is not just a national security issue it's also an economic issue. For this reason the new cyber czar will report to both the heads of the NSC and NEC. What may not be understood about the importance of the cyber czar is the fact that the position will serve as the linchpin for many of the administration's major initiatives -- especially in the area of health care reform and global climate change. While health care reform and global climate change are sexy topics, and deserve our government's attention, they are not nearly as important as cybersecurity. This may sound odd, since it probably isn't even on the mind of the average American but consider this -- most of the proposed solutions to both of these issues require the use of information technology to reduce costs and increase efficiencies. Digital medical records have been recommended as a panacea for saving money and reducing the cost of health care, but they must remain confidential and be easy to access to be effective. If our cyberspace is not secure, our records will have none of these and doctors and patients will be slow to adopt these new cost saving technologies.                 
                

            
                The so-called ""smart grid"" has been touted as key to cutting green house gasses by helping to reduce the need for more electricity production. Since electric production is highly dependent on fossil fuels that increase carbon emissions, a reduced demand for electricity directly relates to reduced carbon emissions. An updated grid is critical to incorporating solar and wind energy and other low carbon footprint technologies,  into the electrical grid. This, too, requires the use of information systems that have integrity and are available 24-hours a day. Without cybersecurity, these systems will simply not be feasible and could lead to massive power outages in our country. In effect, securing our nation's critical information technology infrastructure is vital to solving some of the most hotly debated political issues of our time.                 
                

            
                The situation we find ourselves in is analogous to farmers producing a bumper crop but having it rot in the fiedls because they forgot to build the road and buy the trucks to get the food to market. Let's learn from this past weekend's attacks -- we cannot produce wonderful technologies designed to solve real problems without paying attention to the critical infrastructure that enables these new technologies to work. Let's remember that a secure infrastructure, as boring as that may sound, is critical to the future of some of our government's most ambitious projects and the safety of our nation.                
                

            
                Chris ""Rocky"" Campione is a cyber-security consultant to government and industry. He is a former Deputy Assistant Secretary for National Security at the Department of Energy."
A time for Republican unity,"Speaker of the House John Boehner pumps his fist as he emerges from a meeting with Republican House members  in the U.S. Capitol in Washington October 16, 2013.
	                        
	                        	 (Reuters)
	                        
	                    
	                
                
            
        
    

    


                        






    
        
        
        
            
                In recent weeks, the national media have been obsessed with highlighting divisions and disagreements among Republicans on Capitol Hill. It’s time for GOP lawmakers to remind the American people of what unites us.
 
 Republicans are united in our desire to dismantle President Obama’s health care law and replace it with patient-centered alternatives that reduce costs, expand quality insurance coverage, and improve access to care.                                             ADVERTISEMENT                                    
                

            
                [pullquote]                
                

            
                We’re united in our desire to simplify the U.S. tax code and encourage job creation by lowering marginal rates and broadening the base.                 
                

            
                We’re united in our desire to abolish misguided regulations.                 
                

            
                To expand domestic energy production.                 
                




    
    
    
    	
    		
    		
    		
		    	
		            More On This...
		            
		                
		                    
		                    

        
	    
	    	Throw the bums out? Here's what Americans must do now
	    	
	        
    


		                
		                    
		                    

        
	    
	    	Debt and destruction
	    	
	        
    


		                
		                    
		                    

        
	    
	    	Obama, other Democrats all wrong about Republican obstruction of judicial nominees
	    	
	        
    


		                
		                    
		                    

        
	    
	    	Sen. Rubio on push to delay ObamaCare's individual mandate
	    	
	        
    


		                
		                
		            
		        
        	
        
    




            
                To end Wall Street bailouts.                 
                

            
                To save entitlement programs such as Medicare and Social Security before they collapse.                 
                

            
                To appoint constitutionalist judges who will faithfully uphold our founding document.
 
 In other words, what unites Republicans is far more significant than what divides Republicans.                
                

            
                The disagreements of the past month have mostly been about tactics rather than policy. But those disagreements are now behind us.                 
                

            
                Moving forward, if Republicans want to maximize our leverage and achieve conservative policy gains, we must remain united and focus on issues where President Obama and the Democrats are clearly vulnerable.
 
 For example: The administration spent more than $400 million to get the ObamaCare health exchanges up and running by October 1, but so far they’ve been a total disaster.                 
                

            
                Across the country, people have found it exceedingly difficult, if not impossible, to sign up. Indeed, only a tiny fraction of all visitors to the official Obamacare website have successfully enrolled.                 
                

            
                Polls have consistently shown that most Americans want to delay ObamaCare’s personal health insurance mandate.
 
 Republicans agree that, at the very least, Washington should delay the mandate for individuals and families, especially since President Obama has unilaterally delayed the corresponding mandate for employers.                 
                

            
                We also agree that health-care reform should not (1) impose a trillion-dollar tax hike, (2) discourage full-time hiring, (3) drive up insurance premiums, (4) cause large numbers of Americans to lose their existing coverage, (5) weaken Medicare and Medicaid, or (6) hamper medical innovation.                 
                

            
                ObamaCare does all of these things.                 
                

            
                In the months ahead, Republicans should continue making the case for alternative reforms that would expand quality insurance coverage while simultaneously lowering costs and improving patient access.
 
 In addition, we should continue pressing the Obama administration to approve the Keystone XL oil pipeline from Canada. Amid the worst unemployment crisis since the 1930s -- at a time when millions of Americans have been jobless for more than six months and our labor-force participation rate has fallen to a 35-year low -- there is no good reason to oppose an energy project that would create thousands of well-paying middle-class jobs and reduce our dependence on Middle Eastern, Russian, and Venezuelan oil.
 
 Speaking of job creation, Republicans should keep up the drumbeat for pro-growth, revenue-neutral tax reform. Americans now spend roughly 6.1 billion hours each year complying with IRS filing requirements. That represents a massive waste of time, money, and energy for businesses and individuals alike.                 
                

            
                Republicans overwhelmingly support a simpler, more logical tax system with lower marginal rates and fewer loopholes. That’s a winning message, and it’s one we should aggressively promote.
 
 Finally, Republicans should remain united in blocking Senate Majority Leader Harry Reid’s attempt to pack the D.C. Circuit Court of Appeals, which is America’s second-most-influential judicial body.                 
                

            
                Senator Reid has made no secret of his intent: Over the summer, he told Nevada Public Radio that Democrats were hoping to “switch the majority” on the D.C. Circuit to make it a rubberstamp for big-government liberalism. Republicans have objected to this power grab, and we should continue to do so.                 
                

            
                Based on its caseload, the D.C. Circuit simply does not need more judges at the present time.                
                

            
                Meanwhile, there are plenty of appellate courts that are overburdened and do need more judges. Our priority should be to fill those vacancies, not to let Harry Reid stack a single court.
 
 Republicans will always have internal debates, but -- more importantly -- we share a determination to reverse the destructive policies of the past five years.                 
                

            
                The results of Obamanomics speak for themselves: Since June of 2009, we have experienced the weakest economic recovery and the longest stretch of high unemployment in postwar history.                
                

            
                The president claims to be deeply troubled by income inequality. And yet, as the New York Times reported in late August, the trend of rising income inequality “appears to have accelerated during the Obama administration” (my emphasis).                 
                

            
                Indeed, according to one measure of the income gap, inequality has increased about four times faster under President Obama than it did under President Bush.
 
 Republicans want to restore the economic and constitutional principles that made our country the envy of the world.                 
                

            
                Conservative health-care policies would help all Americans obtain quality insurance coverage and quality care.                 
                

            
                Conservative tax policies would make it easier to raise families, start businesses, and save for retirement.                 
                

            
                Conservative energy policies would create thousands of jobs and bolster national security.                 
                

            
                Conservative regulatory policies would end “too big to fail.”                
                

            
                With President Obama sitting in the White House and Democrats controlling the Senate, these policies face an uphill battle. No question about it.                 
                

            
                Yet by remaining united behind common values and common interests, Republicans have a chance to win substantial short-term victories -- and set the stage for much bigger victories in the future.                
                

            

            
                
                    
                
                


 

	Republican John Cornyn represents Texas in the United States Senate where he serves on the Judiciary Committee. He is a former state attorney general."
