Title,Article
Five Health Care Reform Solutions That Make Sense,"AP
	                        
	                    
	                
                
            
        
    

    


                        






    
        
        
        
            
                Massachusetts, the bluest of states in our union, stunned the nation on Tuesday when it voted to end Washington’s unbridled spending and plan for government-run health care. Seventy-eight percent of Republican Scott Brown’s voters strongly oppose the current health care legislation. Sixty-one percent of Brown’s voters said deficit reduction was more important to them than health care.

Americans still want health care reform, but they are looking for clear, patient-centered, fiscally responsible solutions. Physicians for Reform offers such a plan. Here are five reforms we propose.                                            ADVERTISEMENT                                    
                

            
                REFORM #1: Sell Insurance Across State Lines

FACT: State mandates drive up costs

• Health insurance for a 25-year-old male in New Jersey costs nearly six times what it does in Kentucky, largely because of state mandates.

• Introducing choice and competition reduces business overhead. Businesses could use these savings to raise wages or hire workers. This stimulates the economy without spending a dime of federal money.

FACT: Interstate competition optimizes legislative oversight

• Competing incentives push states toward quality and efficiency. Increased regulation protects patients. Decreased regulation attracts business. If fifty state legislatures compete to balance patient protection against affordability, effective and efficient oversight will emerge.

• The alternative is to have federal mandates—giving Americans no choice and leaving the political class with no competition.

We the People provide oversight

• Independent watchdog groups could rate states and insurance companies on cost and patient satisfaction. This sifts the good from the bad.

• Armed with knowledge and incentive, Americans would push insurers to offer better, cheaper products tailored to their specific needs.

CONCLUSION: Allowing businesses to purchase insurance across state lines empowers We the People, not Washington, and does not cost a dime. CNN’s Wolf Blitzer repeatedly questioned President Obama’s senior adviser David Axelrod about this reform. Axelrod offered no reason why it would not work. This measure should enjoy bipartisan support.

REFORM #2: Let individuals purchase health insurance with pre-tax dollars

FACT: Insurance companies serve businesses, not patients

• Businesses purchase employee health insurance with pre-tax dollars. Individuals purchase insurance with post-tax dollars making their insurance far more expensive.

• This reform lets patients buy products that meet their needs and makes insurers more accountable to patients.

CONCLUSION: This reform empowers We the People and requires no federal spending.

REFORM #3: Encourage Health Care Savings Accounts (HSAs)

FACT: HSAs reduce health care costs without rationing (cutting Medicare)

• No one spends someone else’s money as wisely as they spend their own. This is the fundamental problem of any third-party-payer system (whether insurance companies or government).

• When a third party pays, nobody cares about cost. HSAs encourage patients to ask:                 
                

            
                1) How much does this cost?                 
                

            
                2) Do I need this test or medication?

• HSAs let patients control their own money, decreasing health care spending by 13%.

• This “bends the curve” without rationing care. During 2005 and 2006, traditional insurance rose 7.3% annually. Lower cost / higher deductable plans combined with HSAs rose only 2.7% annually.

FACT: HSAs encourage “young invincibles” to buy insurance

• Allowing patients to transfer unused, pre-tax HSA dollars to retirement accounts gives “young invincibles” a reason to purchase health insurance.

• Washington’s “reform” forces younger / healthier Americans to buy insurance under threat of fines or prison.

CONCLUSION: By addressing a fundamental problem of today’s health care system, this reform “bends the curve” without rationing care. Again, it empowers We the People without plunging America further into debt.

REFORM #4: End abusive medical litigation

FACT: Frivolous litigation drives physicians out of medicine

• Tremendous upheaval occurs when physicians are accused of malpractice—even when acquitted. Bringing tens of millions of new patients into the system requires more physicians, not fewer.

FACT: Frivolous litigation reform lowers cost and improves access to care

• Americans spend approximately $124 billion every year because physicians practice defensive medicine. Frivolous lawsuit reform could reduce healthcare spending by approximately $70 billion annually.

• In 2002, 62% of counties in Texas did not have an obstetrician. After passing frivolous medical litigation reform in 2003, nearly 600 obstetricians returned to practice medicine in the Lone Star State by 2007.                
                

            
                CONCLUSION: Ending abusive litigation “bends the curve” without rationing care. Physicians for Reform outlines medical litigation reform that reduces frivolous suits, expedites legitimate suits, and holds negligent physicians accountable. (www.PhysiciansForReform.org)

REFORM #5: Covering the uninsured

FACT: We can insure the uninsured without expanding American debt

• Approximately 25% of patients who visit the emergency room where I work do not have health care coverage. Clearly something must be done.

• A system of tax credits can help the uninsured purchase coverage. This would cost approximately $80 billion annually. Reforms #1 through #4 will save approximately $120 billion annually, covering the uninsured. Healthcare reform must be viewed in terms of American debt, not federal deficit.

Getting Health Care Reform Right

Scott Brown's election to the Senate gives the nation a chance to slow down and rethink health care reform. It gives our lawmakers an opportunity to keep the patient at the center of American health care. And to do this we must:

- Scrap the current legislation.
- Enact the five reforms listed above.
- Pass each reform separately, one bill every four months.
- Limit each bill to 50 pages.
- Let each bill pass or fail on its own merits—no pork, no pay-offs.
- Make final language available to the public for at least 7 days prior to voting.

We the People want patient-centered, fiscally responsible reform. Change for the sake of change is not enough. Massachusetts voters made this clear. Washington, listen and give Americans real solutions. Only then will we support you at the ballot box. 

C. L. Gray, M.D is president of Physicians for Reform. For more visit PhysiciansForReform.org."
Obama's 5 Health Care Myths,"If you're trying to follow the health care debate, you know there are some ""truths"" which have been repeated so frequently, and with such vehemence, that they have become gospel. How often have you heard ""the costs are skyrocketing"" or ""our system is broken"" or ""Americans overwhelmingly support reform""? Here's a heads-up: Some of these are simply baloney.                                            ADVERTISEMENT                                    
                

            
                For instance, those pushing reform have described our healthcare system as ""broken,"" thus in desperate need of overhaul. The primary evidence for this claim is a report issued by the World Health Organization in 2000 which ranked the U.S. 37th in overall ""health performance"" despite being number one in spending. (It is noteworthy that the WHO no longer publishes such a ranking -- deeming the process ""too difficult."") Betsy McCaughey, in a recent talk before the Manhattan Institute, noted that the rankings were heavily weighted towards social goals, and less towards the effectiveness of medical care. In other words, the WHO studied the distribution of medical attention, and the fairness in financial contribution, placing as much weight on such issues as on actual performance.                
                

            
                Further, according to Princeton professors Uwe Reinhardt and Tsung-mei Chung, the rankings ""are not based on the actual values achieved by the nation, but on the ratio of the achieved values to the values that ought to have been achieved, given the country's educational attainment and spending."" They point out that the rankings, in effect, were determined by the opinions of those surveyed. In short, this is hardly a scientific assessment.                
                

            
                Even against this bias, the U.S. ranked number one in ""responsiveness"" -- that is in actually delivering care, but got hammered on ""fairness of financial contribution."" The country that scored highest on that metric -- Colombia -- ranked 82nd on responsiveness. Would you rather be treated in Colombia or in the U.S.?                
                

            
                The WHO publishes reams of data that may more accurately describe the medical care a country receives. For instance, life expectancy is a decent proxy for the overall level of health and healthcare in a country. The life expectancy of those born in the U.S. was 78 years in 2007, up from 77 in 2000 and 75 in 1990. This figure is not at the top of the heap -- Japan's sushi-eaters can hope to live to 83, for instance, while a number of Western countries (Iceland, Italy and Australia among others) are at 82, but it is certainly respectable and better than most. The Russian Federation, for instance, has a life expectancy of only 66 years. Another gauge of a country's medical support is infant mortality. In the U.S., the WHO says, 4 out of every 1,000 births ends in death; only a handful of countries report a lower figure. Statistics show that 99% of births in the US are attended by ""skilled health personnel"" -- a figure only surpassed by Turkmenistan, Uzbekistan and Tuvalu, among others. (Do we detect the challenges confronted by the WHO's data collectors?)                
                

            
                Myth number two about our healthcare system is that the growth in spending on healthcare has accelerated in recent years. In fact, in 2007 -- the most recent year for which we have data -- health care spending decelerated, to 6.1% from 6.7% in 2006. More interesting is that the rate of growth has dropped every year since 2002, and that the average increase so far this decade -- 7.4%, though modestly ahead of the growth rate in the 1990s, trails far behind the 11.3% increase rate of the 1980s and 12.7% of the 1970s. Health care spending may be growing too rapidly, but it is not accelerating.                
                

            
                Myth number three about health care spending is that the increases in outlays portray a system ""out of control"" and bloated by greed and inefficiency. In fact, some argue that the growth in the sector stems directly from the aging of the population and advances in medical technologies. Knee replacements are expensive, but they are also now commonplace. Lipitor and other statin drugs cost a great deal, but they also prolong life and can eliminate heart disease. (The unfortunate reality is that prolonging life costs money, too.)                
                

            
                According to the Kaiser Family Foundation, from 1997 to 2007 the number of prescriptions purchased in the US rose 72%, while the population grew just 11%. Over half of Americans take one prescription drug on a regular basis; one in five takes four or more. Overall, prescription drugs account for only 10% of the healthcare dollar, but this category has grown faster than overall spending. The reality is that Americans choose to spend money on the best treatments available.                
                

            
                Our fourth healthcare myth is that Americans overwhelmingly want to see the system changed. It just ain't so. A Gallup poll conducted late last year showed that 49% of respondents wanted to maintain the current system, while 41% wanted it to change. In a more recent Rasmussen poll, only 50% of all voters are in favor of the president's reform plan. A mere 12% of respondents think their healthcare coverage will improve under the proposed overhaul, while 37% expect their coverage to be worse. The remaining 37% do not expect to see any change. In other words, 74% of Americans do not see healthcare reform improving their own situation.                
                

            
                The fifth myth is that Americans are deeply concerned about extending health insurance to those not covered. In fact, a recent Kaiser Foundation poll found that 54% of Americans are not willing to pay more -- either in higher health insurance premiums or higher taxes -- to increase the number of Americans that have coverage. As a country, we are concerned about the rise in healthcare expenditures, and are heartbroken when we hear of people who have been denied medical treatment, but we do not want to pick up the tab for them.                
                

            
                The United States does have to confront the reality that some people in this country are crushed by medical costs, and some receive inadequate treatment. But the debate over how to remedy these problems should be framed by facts, not myths.                
                

            

            
                
                    
                
                


 

	Liz Peek is a writer who contributes frequently to FoxNews.com. She is a financial columnist who also writes for The Fiscal Times. For more visit LizPeek.com. Follow her on Twitter@LizPeek."
What Women  Want In a Supreme Court Nominee,"In the Mel Gibson-Helen Hunt movie, ""What Women Want,"" Gibson’s character is struck by lightning and can suddenly read women’s minds, a gift that he comes to enjoy and uses to learn what women want and provide it for them. Of course, he uses the power to his advantage as well but manages to do some good in the meantime.                                            ADVERTISEMENT                                    
                

            
                The elusive desires of women are becoming clearer as we learn that the majority of Tea Partiers are actually women. And what do they want? A sound economic policy for our country, less government intrusion in our everyday lives, and a society that values life in all stages.                
                

            
                Women have made it easy for the Obama administration to read their minds, yet the policies put forth, or rather rammed through Congress, are anything but what women, and the majority of Americans for that matter, want.                
                

            
                Coming off of a year-long health care battle, President Obama now faces the extraordinary task of nominating a lifelong Supreme Court justice, one that will most likely have a final say on whether or not Obama’s unpopular healthcare reform legislation is constitutional.                
                

            
                President Obama’s actions thus far have pointed to a complete disregard for the Constitution. He has instituted government programs that will micromanage every aspect of our lives. Women make the majority of health care decisions in the family and don’t want the government intruding on that right.                
                

            
                I fear that the president will nominate someone who follows his own ideology and will ignore the Constitution in order to rubber-stamp their liberal political agenda. And that is a scary thought. The health care bill will look like a walk in the park compared to a court stacked with Obama appointees.                
                

            
                During his campaign, Obama said that a judge’s personal feelings can trump the fair application of the law. A recent Rasmussen poll asked whether or not a Supreme Court judge should make decisions according to what’s written in the Constitution or rather guided by a sense of fairness. A full 60% favored laws according to the precedents set in the Constitution.                
                

            
                And contrary to the leanings of supposed women’s rights groups like Planned Parenthood and the National Organization of Women, the majority of American women are pro-life, which corresponds to the founding principles of our great country.                
                

            
                Just because Justice Stevens was a liberal on the Court, it does not mean that President Obama must nominate another liberal to replace him. Planned Parenthood president Cecile Richards is already salivating at the possibility of a justice who will “stand equally strong for” abortion on demand.                
                

            
                Obama sailed into office as a man expected to heal the nation, unite the political parties, and bring warm fuzzies to a country divided. On the contrary, since entering the White House our president and his policies have driven the country into an unfathomable divide, even lending to the uprising of the Tea Party movement, which brought out everyone from retirees to soccer moms -- and professionals who never cared about politics -- because Obama introduced policies that would destroy the lives they had built.                
                

            
                Women want a Justice who will uphold the Constitution, the right to life, and will preserve the family as a foundational cornerstone of our society. They don’t want someone who will legislate from the bench and uphold abhorrent legislation like the health care bill.                
                

            
                You don’t need to be struck by lightning to figure this out.                
                

            
                Penny Nance is the CEO of Concerned Women for America, which is the nation’s largest public policy women’s organization with chapters in every state.                
                

            
                Fox Forum is on Twitter. Follow us @fxnopinion.                
                

            

            
                
                    
                
                


 

	Penny Young Nance is president and CEO of Concerned Women for America, the nation’s largest women’s public policy organization. She is the author of the book ""Feisty and Feminine: A Rallying Cry for Conservative Women"" (Zondervan 2016)."
Why some Democrats are turning on Obama,"Last week the three most powerful Democrats in the state of West Virginia — Gov. Earl Ray Tomblin, Senator Joe Manchin and Rep. Nick Rahall – made a public display of turning their backs on President Obama by announcing plans to skip the Democratic National Convention.                                            ADVERTISEMENT                                    
                

            
                The president lost West Virginia in 2008 and his polling there remains weak. So local Democrats have decided they have no problem embarrassing the man whose name will be on the top of their ticket in November.                
                

            
                The same political distancing act is on display in Pennsylvania’s 12th congressional district. Conservative Democrat Mark Critz also says he has better things to do than go to the convention. Rep. Critz said he will be working in his district instead of  “focusing on the agendas of the political parties.”                
                

            
                In the harsh, polarized world of Washington politics, Republicans take delight in opposing every legislative proposal from President Obama.                
                

            
                But when the history of Obama’s first term is written, conservative Democrats will also be remembered for regularly throwing wrenches into any plans coming from this president.                
                

            
                The conservative Democrats — mostly elected from swing states in the anti-President George W. Bush wave elections of 2006 and 2008 — gave the president headaches even when Democrats controlled the House and Senate.                
                

            
                The best example was the fight over health care reform.                
                

            
                Republicans did not give the president a single vote despite a plan that followed previous GOP proposals — most notably Mitt Romney’s Massachusetts law — and excludes a public option for insurance. That left the president in need of every Democrat’s vote. Note that liberal Democrats who wanted a public option did not abandon the president.                
                

            
                But those conservative Democrats squeezed the Obama Team for concessions and amendments that allowed Republican critics to disparage the negotiations as “Chicago-style” bribery used to win support for a bad proposal.                
                

            
                Words and phrases such as  “kickbacks” and “sausage making” became associated with healthcare reform. And they became Republican talking points that drove down public support for the healthcare deal even as most Americans praised the individual changes the bill achieved.                
                

            
                The president again had trouble with conservative Democrats in April when he said he would veto any transportation bill that included the Keystone XL pipeline from Canada. Conservative Democrats walked out on the president when 69 of them joined the GOP to vote legislation that included the oil sands pipeline.                
                

            
                And in the last week, seven conservative Senate Democrats undercut the president’s negotiations with Republicans over a budget deal. They have declined to adopt the president’s negotiating position against another extension of the Bush-era income tax rates.                
                

            
                The move weakens Obama in negotiations with the GOP.                
                

            
                A weak presidential candidate at the top of the ticket does not usually help anyone on the ticket. But in this election cycle conservative Democrats obviously see their political fortunes as separate from Obama’s.                
                

            
                One of those conservative Democrats, Sen. Claire McCaskill, is locked in a tough reelection fight in Missouri, a state Obama lost in 2008. In addition to backing away from the president on the budget deal, she is also backing away on immigration policy changes allowing young illegal immigrants in high school or the military to avoid deportation.                
                

            
                “My preference would be for Congress to resolve this issue …,” McCaskill said. “I’ll be looking at the details of this announcement closely to ensure it isn’t a magnet for illegal immigration.”                
                

            
                McCaskill is distancing herself from the president in the hope of persuading swing voters that she is more of an independent than a Democrat.                
                

            
                A Rasmussen poll taken earlier this month found McCaskill losing to her likely GOP opponent by 12 points. McCaskill needs independent voters and she does not see the Obama brand helping her cause.                
                

            
                From the Obama campaign’s perspective, the conservative Democrats’ strategy is damaging.                
                

            
                Obama also wants to win over independents. He could use conservative Democrats as allies.                
                

            
                The result is the White House never punishes the turncoats.                
                

            
                The Obama campaign is too busy energizing its liberal base right now with support for gay marriage, the new immigration policy and preventing student loans from skyrocketing. Those policies may be enough punishment for Democrats seeking socially-conservative independent voters.                
                

            
                The real question for conservative Democrats now is whether any voters will think they are not actually Democrats because of stunts such as avoiding  the national convention.                
                

            
                In Pennsylvania’s 12th District, the campaign manager for Rep. Critz’s Republican opponent doubts skipping the Charlotte convention will do it.                
                

            
                Rep. Critz “can run from President Obama all he wants …,” said Jon Raso. “This is just the latest ploy … to distance himself from the president in desperation of saving his political career.”                
                

            
                Maybe Obama will throw a wrench in Critz’s plan by endorsing him.                
                

            
                This column originally appeared in The Hill newspaper and on TheHill.com.                
                

            

            
                
                    
                
                


 

	Juan Williams currently serves as a co-host of FOX News Channel’s (FNC) The Five (weekdays 5-6PM/ET) and also appears as a political analyst on FOX News Sunday with Chris Wallace and Special Report with Bret Baier. Williams joined the network as a contributor in 1997."
ABC = Always Biased Coverage?,"Wed, 17 Jun 2009 18:35:35 +0000 –  By Peter RoffFellow, Institute for Liberty/Former Senior Political Writer, United Press International                                            ADVERTISEMENT                                    
                

            
                It should come as little surprise that the once venerable ABC News has announced it would broadcast an upcoming edition of its ""World News"" from the White House's Blue Room, followed by a national town hall meeting on healthcare held in the East Room and presided over by President Barack Obama.                
                

            
                It's a ratings stunt, easily explained by the fact that the network needs them so badly. Tuesday's Nielsen ratings - which the network disputes - show that ABC's evening news broadcast is attracting its smallest audience in decades.                
                

            
                ------------                
                

            
                
 The important thing for Republicans is to be part of the debate, not whine about being excluded.
                
                

            
                ------------                
                

            
                More than that, however, it's politics in the media at its worst. By turning the network over to Obama to pitch the American people on his healthcare reform plan, ABC has joined the lobbying arm of the White House and the Democratic Party. The presentation that will be made to the American people will not be, to borrow a phrase, ""fair and balanced."" Instead, it will include no viewpoint other than Obama's, despite ABC's promise that the network - and the network ""alone will select those who will be in the audience asking questions of the president,"" said ABC News Senior Vice President Kerry Smith.                
                

            
                That the network has chosen to throw in with the president on healthcare reform is little surprise. The director of communications at the White House Office of Health Reform is former ABC News reporter Linda Douglass, who left the network to join Obama's campaign. And it doesn't take too much creativity to imagine that she probably helped broker a deal between her new boss and her old.                
                

            
                Leaving that aside, however, the Republican and conservative response to the announced programming was, as is typical, to whine that they were not being included. Begging for scraps from the monarch's table is the wrong strategy.                
                

            
                The right strategy is to come up with ideas of their own, like buying television ads that would appear throughout the day laying out the case for the patient-based approach to healthcare reform and why it is superior to the government-run approach. Of course this would depend on ABC's willingness to put the ads on the air, something it told the group Conservatives for Patients' Rights it would not do Wednesday afternoon after it asked to buy time just before the town meeting went on the air.                
                

            
                The right strategy has the proponents of the patient-centered approach to healthcare committing to holding a televised town meeting of their own, where attendance is not governed by the need to be cleared into the White House by the Secret Service.                
                

            
                It's all well and good to point out that ABC Chief Washington Correspondent George Stephanopoulos is a former Clinton White House aide who helped craft major policy initiatives like HillaryCare. And that ""World News"" anchor Charlie Gibson helped torpedo Sarah Palin during the 2008 presidential election by asking her questions he himself could not answer and whose terms he could not define; but neither fact, while true, helps define the positions in the debate over healthcare reform.                
                

            
                The important thing is to be part of the debate, not whine about being excluded.                
                

            

            
                
                


 

	Peter Roff, a former senior writer at United Press International, is a senior fellow at Frontiers of Freedom, an organization that advocates for educational freedom and reform."
At least one group of Americans loves ObamaCare,"Now Playing                            Political fallout over ObamaCare continues                                                                                                
				    
			
		 

    






                        






    
        
        
        
            
                Take a quick glance at ObamaCare’s busted multimillion-dollar website and the 3.5 million health insurance cancelation notices hitting American mailboxes and you might be tempted to dub the whole thing a disaster. But it’s not -- at least not for the politically-connected crony companies and big money Obama fundraisers poaching your tax dollars to fix the debacle they helped create.                                            ADVERTISEMENT                                    
                

            
                As CNBC recently put it: “Thanks to ObamaCare, the health-care industry is going to get a big makeover during the coming years and venture capitalists have wasted no time looking for ways to cash in.” Put simply, ObamaCare’s complexity and catastrophic rollout create rivers of cash for Obama’s cronies.                
                

            
                So who are some of the winners in the ObamaCare crony capitalist giveaway?                
                

            
                For those on the left who thought that ObamaCare would mean large health insurance companies might get their comeuppance, they might want to look at UnitedHealth. Wall Street analysts expect the giant to see its stock price rise 40 percent over the next two years, thanks to expanding profit margins. The company has also won big contracts to help implement the rollout. Quality Software Services, Inc., a major contractor for Healthcare.gov, is a subsidiary of UnitedHealth. One of President Obama’s most reliable fundraisers in both 2008 and 2012 was Anthony Welters, executive vice president of UnitedHealth. He raised more than $500,000 for the 2012 election, according to opensecrets.org                
                

            
                Another big ObamaCare winner is tech giant Qualcomm. In 2011, the company created a subsidiary called Qualcomm Life specifically designed to profit off ObamaCare changes. The company offers products to securely transfer data between wireless health care devices. Thanks to ObamaCare, company executives believe that “wireless solutions are going to be looked at more prominently.” Former Qualcomm Chairman Irwin Jacobs raised more than $500,000 for Obama’s re-election in 2012.                  
                




    
    
    
    	
    		
    		
    		
		    	
		            More On This...
		            
		                
		                    
		                    

        
	    
	    	End runs around the Constitution -- the NSA, Obama and the Fourth Amendment
	    	
	        
    


		                
		                    
		                    

        
	    
	    	North Carolina school district rejects ‘In God We Trust’ posters
	    	
	        
    


		                
		                    
		                    

        
	    
	    	Why Billy Graham has hope for America
	    	
	        
    


		                
		                    
		                    

        
	    
	    	Will President Obama come clean about ObamaCare promises?
	    	
	        
    


		                
		                
		            
		        
        	
        
    




            
                Also poised to do well is Obama bundler David Friedman, founder of Sandy River Health Systems, which works in health care, nursing homes, and long-term care. Friedman raised more than $500,000 for Obama’s re-election in 2012.                
                

            
                Obama bundlers who are private equity investors also stand to make a mint. Obama bundler Jay Snyder (he raised more than $500,000) heads up HBJ Investments, which was founded by his father.  HBJ invests in health care medical companies and pharmaceuticals positioned to cash in on ObamaCare.                
                

            
                Vice President Al Gore and investor David Blood head up investment firm Generational Investment Management. The company may be known for backing green energy businesses, but earlier this year Generational Investment Management invested heavily in health care stocks -- a full 27 percent of the portfolio for Generation Investment Management LLP is made up of health care investments. Predictably, Gore and Blood’s firm is expected to cash in on ObamaCare.  And, predictably, Blood bundled more than $500,000 for Obama in 2012.                
                

            
                Bundler Robert Pohlad (who bundled more than $500,000 for Obama in 2012) is the head of Pohlad Companies, which has a subsidiary called Arcadia Solutions, a software company that is selling software to hospitals and doctors affected by healthcare reform.                
                

            
                ObamaCare is also spurring a growing number of mergers among hospitals and other health care providers, according to The New York Times.  As another paper notes,  “Because of all the new regulations and changes to how hospitals are paid, look for more mergers and consolidation.” This creates opportunities for Wall Street dealmakers like Evercore Partners, which, in September, hired away Matthew McAskin from Goldman Sachs where he was the co-head of the Healthcare Services Investment Banking unit. In its announcement, Evercore noted that McAskin “has advised on a number of the most recent notable transactions in the hospital, managed care, HCIT, physician services and outsourced medical services subsectors” and that “health care represents one of the largest and most active industries for investment banking services.” Evercore boasted at least two big dollar bundlers for Obama, the most prominent bundler being Roger Altman, co-chair of the company, who bundled between $200,000 and $500,000 for Obama in 2012.                  
                

            
                Another big Obama fundraiser who stands to profit from the ObamaCare debacle is Alexa Wesner of Austin Ventures. The investment firm has big stakes in Emerus Hospital Partners, LLC, ESO Solutions (which offers software to the health care industry), and Explorys, Inc., which hopes to leverage “big data” in the health care sphere. Wesner bundled over $500,000 for Obama in 2012                
                

            
                ObamaCare may be a disaster for the millions of Americans whose health insurance plans are being canceled, the millions of Americans who cannot use the government’s website, and the taxpayers forced to foot the bill for the boondoggle. But make no mistake -- at least one group of Americans loves ObamaCare: the president’s big money backers and cronies who stand to bag millions of your tax dollars amid the mess.                
                

            

            
                
                    
                
                


 

	Peter Schweizer is the president of the Government Accountability Institute and the author of Clinton Cash (Harper Collins 2015)."
Why this doctor is glad that Trump wants to take on big pharma (and protect  Americans from drug makers' greed),"Now Playing                            Trump: You're going to be proud of plan to replace ObamaCare                                                                                                
				    
			
		 

    






                        






    
        
        
        
            
                Health care reform has been a big part of the election of 2016.  While the Affordable Care Act (aka ObamaCare) has taken center stage, many have wondered what may happen to the pharmaceutical and medical device industries under a Trump presidency.  Wednesday, President-elect Trump made the answer quite clear — no more price gouging.                                             ADVERTISEMENT                                    
                

            
                In the last year, we have all heard about the significant price hikes of the Epi Pen made by Mylan pharmaceuticals. Mylan and CEO Heather Bresch are just one example of price gouging, price fixing and collusion among pharmaceutical companies.                 
                

            
                Many other drugs are also increasing in cost at alarming rates, without any real plausible explaination. Most concerning is the fact that while consumers have seen a 500 percent increase in the cost of the Epi Pen, Ms Bresch has seen a nearly 700 percent increase in her own salary over the last few years.                
                

            
                Mylan is definitely not alone in its greed. Last year the CEO of Turing, Martin Shkreli increased the price of an important (and relatively cheap) drug in the treatment of HIV related illness nearly 5000 percent.                
                

            
                Countless other cases of inflated drug prices have come to light in recent months.                 
                

            
                In Europe, a precedent has been set when in late 2016 drug maker Pfizer was fined a record 85 million pounds by the National Health Service for unfairly raising the price of an old epilepsy drug by 2,400 percent.                 
                

            
                It is clear that price gouging is not limited to newly developed or expensive biologic/designer drugs–even the price of insulin (which has been around for decades) has gone up nearly 300 percent.                
                

            
                Insulin and other medicines like it are drugs that are used to treat common diseases (like diabetes) that many patients NEED daily just in order to LIVE.                
                

            
                 Are we now going to allow some in the pharmaceutical industry to maximize their profits at the expense of the health of children with Type I diabetes?                 
                

            
                Wednesday, President-elect Trump took dead aim at the pharmaceutical industry in his noon press conference.  He made it clear that he will take steps to regulate the pharmaceutical industry because “they are getting away with murder”.                   
                

            
                Mr. Trump stated that he will seek to immediately allow Medicare to negotiate drug prices—no longer will government programs be forced to pay whatever pharmaceutical companies ask.                 
                

            
                He suggested that open bidding by suppliers to provide drugs for Medicare would be an important way to manage cost and potentially save billions of healthcare dollars.                 
                

            
                Mr. Trump noted that the pharmaceutical lobby has been a dominant force in Washington and has been instrumental in keeping prices high. It appears that the President-elect will take quick steps to address the growing national crisis of drug costs.                  
                

            
                Currently the U.S. pays far more for drugs than any other developed nation. We bear the costs of research and development for the rest of the world.  While it is critical to innovation that we reward new developments, we must create limits to how much (and for how long) drug makers can charge exorbitant prices.                 
                

            
                Its Time that We Hold Pharmaceutical Executives Accountable                
                

            
                As a physician and patient advocate, one of the biggest barriers to treatment in my practice is the cost of therapy.                 
                

            
                 Patients want to get well and want to do what is needed to stay healthy. However, many simply cannot afford to purchase their medications—even with assistance programs.                  
                

            
                Pharmaceutical companies MUST do better and I believe that  President Trump will work to make sure that they provide quality products at AFFORDABLE prices in the future.                 
                

            
                 Congress MUST look at amending patent protection laws and must also review the rules and regulations concerning the production and cost of generic medications.                  
                

            
                We must allow Americans to purchase drugs from reputable pharmacies from Canada and other locations in order to lower costs at home.                  
                

            
                Most importantly we must ensure that our government does not overpay for common, low cost drugs simply to line the pockets of pharmaceutical executives and shareholders.                 
                

            
                Initially following the election, drug stocks soared as investors anticipated less regulation and more free market competition in this space.                  
                

            
                Wednesday, things retreated immediately following his comments with the health sector already down several percentage points.  Mylan and Bristol Myers Squibb immediately dropped nearly 4 percent while others such as Pfizer and and Allergan dropped 3 percent.                  
                

            
                It  is my hope that leaders in the pharmaceutical world will begin to work with Mr. Trump and Congress to find better and most cost effective ways to lower the cost of needed and life saving prescription drugs.                 
                

            
                 It appears that with the signing of the 21st Century Cures Act in December, the process for getting drugs approved by the FDA will become much more streamlined and less costly—providing a cost reduction to the pharmaceutical and device industries that should be passed along to patients.                
                

            
                I believe that in his press conference Wednesday, President-elect Trump showed that he is going to stand up for patients and work to reduce the cost of health care in the U.S.                 
                

            
                While drug prices are just one aspect of a very complex system, I think that it is a great place to start.                  
                

            
                Finally, my patients may be able to afford their pills.                   
                

            

            
                
                    
                
                


 

	Dr. Kevin Campbell is an assistant Professor of Medicine, Division of Cardiology, University of North Carolina and  President, K-Roc Consulting LLC."
