Link,Article
Romney for President? What's a Tea Party Voter to Do in 2012?,"Having spent the last several days in the Granite State I am even more puzzled now than I was late last week when I began pondering this new reality: ""The Tea Party is dead.""                                            ADVERTISEMENT                                    
                

            
                I don't know what happened between November of 2010 and January of 2012. Does anyone?                
                

            
                How else do you explain it?                
                

            
                Rewind to November of 2010, race after race, congressional seat after congressional seat, governorship after governorship.                 
                

            
                Only a little more than eighteen months after President Obama had packed the mall in Washington for his historic inaugural, The Tea Party held it's historic event in which nearly the same size audience--according to maps supplied by the USA Today--had attended. That event catapulted a state by state tsunami-like momentum where grassroots, low tax, small government, pro-founding principles, pro-life, pro-national security, and pro-God forces aligned and an election victory of historic equivalence shook America in 2010.                
                

            
                The driving force of that agitation then as it is still today was the effect of a poor economy, government intervention, federal overreach, bureaucratic mandates, and punitive taxes on the nation's beleaguered small business community. Entitlements, bail-outs, and criminally reckless spending ensued.                
                

            
                The Tea Party believed that the buffoons authoring the mess should be dealt a blow. And in 2010 they leveled power in the Congress.                
                

            
                The single biggest example of this overreach was for Washington politicians, behind closed doors, with no transparency, to take a health care reform law--deem it as passed--and force upon the American people the worst piece of legislation to be passed since World War II.                
                

            
                ""ObamaCare"", as it would soon be called, was and is at this very moment--in this election cycle--the singular most visible sign that this nation must take a different course.                
                

            
                Some very good people got elected in 2010 to attempt to help lay the groundwork for the complete repeal of ObamaCare. Rising star Governor Nikki Haley in South Carolina, and Senator-soon-to-be-the-next-Vice-President Marco Rubio rode the shoulders of these Tea Party votes, and pledged with their victories to return power to the voice of ""We the People."" The failed candidacies of Sharron Angle and Christine O'Donnell were also propped up almost entirely by the support of these first amendment patriots who simply wished to keep government in check.                
                

            
                Former Alaska Governor Sarah Palin rallied these troops, showed up and helped them raise cash, enthusiasm, and enlistments.'                
                

            
                 The numbers of the Tea Party were tens of thousands of times bigger than the largest Occupy Wall Street gatherings--combined!                
                

            
                Yet only a little over a year later and the goal of the Tea Party to complete it's work and overturn ObamaCare is all but dead.                
                

            
                In 2010 Ann Coulter was making speeches at CPAC warning that if we chose the candidate who had authored ObamaCare to become the nominee, then President Obama would be easily re-elected. She was right of course.                
                

            
                But somewhere along the line instead of being bold, defiant, grassroots, and in control, someone started feeding voters the meme that the man who saw to it that $50 state-subsidized abortions were included in his vision of mandated government health care, was the best of the available choices.                
                

            
                Even Ann Coulter 2.0 drank the Kool-Aid.                
                

            
                Worse yet the choices that are left in the race are establishment folks who feasted on earmarks for a living in Pennsylvania, embraced government involvement in the biggest hoax of our time--man-made global warming, or finally the man that as governor of Massachusetts raised taxes on everything from gasoline to ""certificates of blindness."" (No it's real... Look it up.)                
                

            
                Your humble correspondant has predicted an easy path that Obama's forces will take to pummel him the candidacy of Mitt Romney into tapioca.                
                

            
                My sources, campaign strategists who consult for the Obama team, confirm that the White House is getting the GOP candidate it wants most.                
                

            
                I need to remind you that the win in Iowa meant strategically nothing. Those delegates will go to whoever the likely nominee is, and won't even be assigned until the convention.                 
                

            
                New Hampshire has a puny amount of delegate votes--but at least they will be genuine delegates.                 
                

            
                This year South Carolina is where the battle truly begins. South Carolina has more delegates than Iowa and New Hampshire combined and Tea Party strongholds from Virginia all the way around the coast to Texas are delegate rich battlegrounds.                
                

            
                The two biggest priorities for primary voters are to decide which candidate can make Washington as inconsequential to the life of the average American as possible, and who can challenge President Obama directly on the worst legislation of our time--ObamaCare.                
                

            
                Mitt Romney has no track record that would point to being able to accomplish either of these. Even a small whiff of a challenge on ObamaCare by Romney will be followed up with an Obama ""thank you"" note for writing the health care law for him.                
                

            
                It is almost impossible to believe and downright sickening to accept that in light of the clear mandate of the Tea Party that the GOP stands on the cusp of returning to ""establishmentarianism."" But it appears that for all the big talk, tens of thousands of local rallies, and the single largest non-inaugural event to ever occur on our nation's mall, the Tea Party has died.                
                

            
                Which is sad. And it's sad for me personally as a supporter, because I believed in the movement and I even addressed those patriots, on that mall, that cloudy Washington day.                
                

            
                That first tea party in Washington took place exactly three days after President Obama's address to a Joint Session of Congress, where he had instructed his supporters on ObamaCare to go ""get in people's faces"" if they disagreed with the policy. He told his critics that he was calling them out.                
                

            
                I remember bringing that little point to the attention of the close to 1.2 million gathered on the mall that afternoon. The chants of ""Here we are, Here we are, Here we are"" rang in my ears for days.                
                

            
                Sadly now I wonder, ""Where'd we go?""                
                

            
                Kevin McCullough is the nationally syndicated host of ""The Kevin McCullough Show"" weekdays (7-9 a.m. ET) & ""Baldwin/McCullough Radio"" Saturdays (9-11 p.m. ET) on 289 stations. His latest book, ""No He Can't: How Barack Obama is Dismantling Hope and Change""(Thomas Nelson) is available now."
Opinion: Change is finally coming to America,"A U.S. Customs and Border Protection officer helps out a few boys who are trying to make phone calls as they are joined by hundreds of mostly Central American immigrant children that are being processed and held at the U.S. Customs and Border Protection Nogales Placement Center on Wednesday, June 18, 2014, in Nogales, Ariz.  CPB provided media tours Wednesday of two locations in Brownsville, Texas, and Nogales, that have been central to processing the more than 47,000 unaccompanied children who have entered the country illegally since Oct. 1. (AP Photo/Ross D. Franklin, Pool)
	                        
	                    
	                
                
            
        
    

    


                        






    
        
        
        
            
                Change is finally coming to America. Despite warnings from opponents of comprehensive immigration reform, President Obama is on the verge of using his executive power to do what Congress has failed to do: address some of the most egregious injustices in our immigration system. Not only is the president well within his constitutional rights to act, but also in doing so he is defending some of America’s most important values.                                            ADVERTISEMENT                                    
                

    

    

    
    	
	       	
	       	    
		        
		            It would certainly be better if the solution to our current immigration problems were the product of bipartisan collaboration and consensus. But the truth is that President Obama confronts one of the most deeply divided congresses in American history.
					
		   				- Jose Calderon
					
		        
	        
        
    


            
                For advocates of comprehensive immigration reform, these last six years have been difficult. The White House and Congress have each insisted that they understand the importance of reforming our immigration system only to have anti-immigrant voices or some other issue (the financial crisis, health care reform, etc.) undercut it. With just two years remaining in his presidency, President Obama, in particular, risks failing to deliver on the promise of one of his most important policy objectives. Time is short and we expect the president to act boldly and decisively.                
                

            
                It would certainly be better if the solution to our current immigration problems were the product of bipartisan collaboration and consensus. But the truth is that President Obama confronts one of the most deeply divided congresses in American history. For years, many Republicans in Congress and some Democrats too, have either dragged their feet on immigration reform or flat out refused to negotiate in good faith with the White House. The result of this political impasse has been a dramatic increase in deportations of undocumented immigrants and a series of other enforcement measures that have inflicted great harm and pain to immigrant families and communities. In the lead-up to the midterm elections, President Obama said that while he hoped that he could work with the new Congress on immigration reform, he was prepared to use executive actions to accomplish what Congress would not. The results of the elections suggest that the president will have few partners to work alongside him in a bipartisan fashion. Simply put, if the worst parts of our immigration system are to be addressed in the next two years, it will most likely be because of the actions of the president.                
                

            
                Opponents of executive action say the president lacks the legal authority to “go it alone.” They’re wrong. Historical precedent shows that presidents—from Harry Truman to Ronald Reagan to Bill Clinton—have used their executive authority to change immigration policy. What’s more, in many of these cases, presidential action has actually spurred Congress to produce meaningful legislation. We certainly hope that's the case, because as important as the president's planned actions on immigration are, they will only represent a temporary fix that address certain aspects of our broken immigration system.                
                

            
                The truth is also that both parties in Congress have had ample time to craft a comprehensive reform strategy that honors America’s values, protects communities, and keeps families together. In the absence of any leadership from Congress, the president has a moral obligation to use executive action to provide relief to millions of immigrant families in the United States.                 
                




    
    
    
    	
    		
    		
    		
		    	
		            More On This...
		            
		                
		                    
		                    

        
	    
	    	Opinion: Like it or not, Obama's immigration action stands on solid legal footing
	    	
	        
    


		                
		                    
		                    

        
	    
	    	Opinion: Can Hispanics survive Obama’s political suicide?
	    	
	        
    


		                
		                    
		                    

        
	    
	    	Opinion: Why Latinos should reject Obama’s immigration decreto
	    	
	        
    


		                
		                    
		                    

        
	    
	    	Ahead of Obama's immigration plan, Biden announces refugee program for Central American minors
	    	
	        
    


		                
		                    
		                    

        
	    
	    	GOP considers suing President to block him from acting solo on immigration
	    	
	        
    


		                
		                    
		                    

        
	    
	    	The Major Players In The Immigration Debate
	    	
	        
    


		                
		                    
		                    

        
	    
	    	Rep. Gutierrez on Obama's executive action
	    	
	        
    


		                
		                
		            
		        
        	
        
    




            
                The president's executive order must take aim at the most unjust elements of the current system. This is not the time to tinker with the system but to act confidently, courageously, and unapologetically in favor of reform.                 
                

            
                Meaningful executive action would include, for instance, an immediate suspension of deportations for undocumented immigrants who pose no threat to our security, as well as broad administrative relief for the overwhelming majority of the nation’s eleven million undocumented residents to remain and work here legally.                 
                

            
                Moreover, the president’s plan should go beyond solely covering immediate relatives of citizens, legal permanent residents and DACA recipients and not be limited to those residing here for 10 years or more. Access to affordable health care should also be an integral part of this plan to improve the public health of all our families and communities.                
                

            
                There are eleven million undocumented immigrants in America. They are our neighbors, our co-workers, our friends, and our families. They can’t wait another day for justice and neither should the president. The time for change is now.                
                

            

            
                
                    
                
                


 

	Jose Calderon is the President for the Hispanic Federation, one of the leading Latino organizations in the nation. 

Follow us on twitter.com/foxnewslatino

Like us at facebook.com/foxnewslatino"
Saving Medicare By Killing It,"“Dire Forecast Sparks New Medicare Debate” was the headline… June 6, 1996. In fact, according to Chicago Tribune columnist Eric Zorn, Medicare’s immediate extinction has been predicted no fewer than 18 times in the last 40 years. When it serves their political interests, the Chicken Littles from both parties squawk about how the nation’s insanely popular (albeit effectively socialized) medical system is going to go broke any moment.

The fact that none of these predictions has ever come true is not stopping Republicans today. They are using the latest Medicare trust fund forecasts to make a truly sick argument: Medicare might be in trouble eventually so, just to be safe, we’re going to destroy it now.

The facts are not in dispute. The Republican budget plan will double the out-of-pocket cost that seniors pay for health care by 2022. Meanwhile, instead of participating in a large government-backed group plan that brings with it economies of scale cost-wise, seniors will be left on their own to negotiate individually with private insurance companies. The “savings” from the Republican plan will partly go to the insurance industry in the form of vouchers and the rest will go to tax breaks for the richest of the rich.

In fact, the Republican budget which is being pushed under the guise that our nation’s deficit has reached a crisis point, will only reduce the deficit by 0.16% over the next 10 years. Over 70% of the “savings” from slashing Medicare and other public programs that help working families will go not to paying down our debt but, rather, giving more tax breaks to the rich. The same people who, according to several independent sources, are paying lower taxes than most ordinary Americans --- and paying the lowest overall tax rate in at least the last century.

It’s hard to now see Republicans, who have attacked Medicare since its very inception, now pretending to defend it. If Republicans had really wanted to strengthen Medicare, they might have supported at least one of the 60 pieces of legislation over the past 10 years to make the program better. Or they might have supported President Obama’s health care reform legislation, which will strengthen Medicare (and improve trust fund forecasts) but cutting excessive spending by 25%.

Frankly, the only thing that will be healthier under the Republican plan will be the bank accounts of insurance executives. Because their profits aren’t already high enough, they’ll now get government subsidies.

If Chicken Little had been a life-long anti-sky activist hell bent on destroying the atmosphere, even fictitious characters would have been nuts to believe her when she screamed about the sky falling, seeing right through her self-serving tricks.                                            ADVERTISEMENT                                    
                

            
                Similarly, since Republicans have spent most of their political existence railing against government in general and Medicare in specific, we’d be crazy to trust them to honestly diagnose the situation --- let alone solve it. After all, the Republican leaders are as genuinely concerned about the long-term health of Medicare as profit-hungry insurance corporations are concerned about your health.                
                

            
                Sally Kohn, a community organizer and political commentator. She is the founder and Chief Education Officer of the Movement Vision Lab. You can follow her on Twitter @sallykohn or Facebook at movementvision.                
                

            

            
                
                    
                
                


 

	Sally Kohn joined the Fox News Channel in 2012 as a contributor."
Olive Garden serves up better menu of health insurance options,"(AP)
	                        
	                    
	                
                
            
        
    

    


                        






    
        
        
        
            
                Recently, Sears and Darden Restaurants (the parent company of Red Lobster and Olive Garden) revealed plans to change how they provide benefits to their workers. Instead of selecting a plan for the workers, the two companies will give them cash directly to purchase insurance from an online marketplace. Creating private insurance exchanges is a simple but potentially game-changing approach to health insurance coverage.                                            ADVERTISEMENT                                    
                

            
                Private exchanges put choice back in the hands of employees. Those who want cheaper plans with lower coverage pay less; those who want more comprehensive coverage will pay more.                
                

            
                Employees will see exactly what their plan costs and the coverage they receive, allowing them to make smarter choices with their money. And existing federal rules (pre-ObamaCare) for group insurance ensure that employees won’t be charged higher prices if they become sick and can’t be denied coverage if they change jobs and shift to the individual insurance market, as long as they keep their coverage current.                
                

            
                Though similar in name, ObamaCare, aka the Patient Protection and Affordable Care Act (PPACA) takes the basic idea of market-based health-insurance exchanges and buries it beneath a morass of new taxes and heavy-handed regulations                
                

            
                Supporters claim that PPACA applies market principles to help control health costs. The health-insurance exchanges the law establishes allow uninsured individuals to purchase insurance using a combination of their own money and federal premium subsidies (and in some cases cost-sharing subsidies) that scale with income (up to 400% of the federal poverty line). So nominally at least, PPACA does harness market forces. But there are some very important caveats.                
                

            
                For starters, the exchanges are loaded with regulations and taxes that will drive up the cost of insurance in the individual and small-group markets. PPACA’s minimum-coverage provisions (called “essential health benefits”) include coverage for mental-health and substance-abuse services, rehabilitative and habilitative services, medical devices, and pediatric dental and vision care. This is a significantly richer and more costly set of benefits than is commonly sold to individuals and small businesses today. The CBO estimates that premiums will rise by close to 30 percent because of this.                
                

            
                PPACA also limits insurers’ ability to offer lower prices to younger and healthier applicants or charge higher prices to sicker and older enrollees. This restriction will also drive insurance prices up, particularly for the young, healthy people that we should be encouraging to buy (and keep) insurance.                
                

            
                Finally, PPACA includes billions in taxes on insurers, drug companies, and medical-device companies that will be mostly passed on to consumers in the form of higher insurance premiums. Congress’s Joint Committee on Taxation estimates that the insurance tax alone will add close to $400 annually to family premiums in 2016. Because the taxes require aggregate amounts to be collected from insurance companies – $14 billion by 2018 – if one insurer’s payout declines, other insurers have to make up the difference. PPACA’s tax structure will likely motivate insurers to merge—reducing competition and further driving up costs for consumers.
 
 Even its supporters admit that PPACA will drive costs up. Although he previously said that PPACA would “for sure” will lower costs, former Obama administration health advisor Jonathan Gruber now admits that the law will drive up individual insurance premiums – by 40% in Maine and Minnesota, and by 20% in Colorado. Other analysts predict increases of as much as 85% in Ohio and 95% in Indiana. Rates for small businesses are expected to rise as well, although not as much.
 
 Creating private, employer-based insurance exchanges is a great start.  Private exchanges are much better positioned to offer high quality coverage without new taxes and expensive new regulations.  And new insurance reform proposals offered by the GOP’s Romney-Ryan ticket would improve them even further.
 
 Employer-based exchange plans remain group plans, and if employees lose their jobs they’d have to pay the full cost of coverage out of pocket, without the tax benefit that comes with employer-based coverage.  Individuals may also face higher prices in the individual market later if they become sick. The rules vary by state.                
                

            
                Here’s where sensible reforms suggested by Governor Romney and Paul Ryan would improve the market while avoiding PPACA’s high costs.                 
                

            
                First, insurance policies have to be truly portable. Romney-Ryan would level the playing field by giving individually-purchased health plans the same tax advantage that employer health plans receive, making insurance much more affordable.                 
                

            
                Second, they’d also reform insurance rules to ensure that as long as you kept your coverage, you wouldn’t have to worry about paying a higher price if you got sick.                
                

            
                This would encourage more companies to open insurance exchanges and help their employees navigate them to find the best value. States wouldn’t have to spend money to open their own exchanges – although they could opt to, if it made sense in their local markets. High-risk pools could be created with relatively modest funding from Washington for the small number of people with pre-existing conditions who can’t find affordable coverage.                
                

            
                By repealing PPACA’s expensive regulations and taxes, the Romney-Ryan plan would also help lower the cost of health insurance. And by creating rules permitting the purchase of insurance across state lines, the GOP plan would help individuals find more affordable plans that fit their families’ needs – without being told what they have to purchase by lobbyists and bureaucrats in Washington.                
                

            
                Private health-insurance exchanges can serve as a model for real health-care reform – especially if the insurance they sell is made truly portable while protecting individuals from future rate increases as long as they stayed insured. It’s a simple, elegant approach that would improve American health care at low cost.                
                

            
                All courtesy of a company that specializes in Italian cuisine and unlimited breadsticks.                   
                

            
                Paul Howard, PhD, is the Director of the Manhattan Institute’s Center for Medical Progress, and Yevgeniy Feyman is a research associate.                  
                

            

            
                
                    
                
                


 

	Yevgeniy Feyman is a fellow at the Manhattan Institute. He writes on health care policy, entitlement reform and the Affordable Care Act.

	Paul Howard is a Manhattan Institute senior fellow and director of the Manhattan Institute's Center for Medical Progress."
"President Obama, if you'll take on insider trading will you also deal with crony capitalism?","FILE -- Jan. 24, 2013: President Obama delivers his State of the Union address on Capitol Hill, as Vice President Joe Biden and House Speaker John Boehner, right, applaud.
	                        
	                        	 (AP)
	                        
	                    
	                
                
            
        
    

    


                        






    
        
        
        
            
                Dear President Obama,                                             ADVERTISEMENT                                    
                

            
                I watched your State of the Union address on Tuesday night and I want to welcome you aboard the reform train. You had some pointed things to say about congressional insider trading, which was a center point of my book ""Throw Them All Out"" which was published last November.                 
                

            
                I laid out how former House Speaker Nancy Pelosi was getting rich off of stock IPOs and how her predecessor Dennis Hastert had a sweetheart land deal that included earmarks to build a highway near some land he bought.                 
                

            
                ""60 Minutes"" did a great story on the book in mid-November.                 
                

            
                Hastert wouldn’t talk to them.                 
                

            
                Pelosi probably wishes she hadn’t. She looked petrified as Steve Kroft was grilling her.                 
                

            
                My advice to politicians in Washington is this: if ""60 Minutes"" shows up at one of your press conferences, it's probably not a good idea to let them ask you a question.                
                

            
                I described the flurry of stock trades that people on both sides of the aisle were making while they were crafting and debating your health care reform legislation (ObamaCare) in 2009.                 
                

            
                And I disclosed how Congressman Spencer Bachus of Alabama actually bought stock options to short the market after he got a private briefing from the Fed Reserve chairman and Treasury Secretary Timothy Geithner during the financial crisis.                 
                

            
                From where you were standing, can you tell me if any of these people stood and applauded when you called for a ban on insider trading? I can’t tell from the video.                
                

            
                I imagine that you (or more accurately your staff) read at least some of the chapters. Your two proposed solutions to the problem came straight out of the last chapter in my book.                 
                

            
                For example, you called for making congressional insider trading illegal (which I mention on page 174) as well as preventing members of congress from trading stock in companies that fall under the purview of their committees.                 
                

            
                I also proposed that legislation on page 174. Glad to know you think these are good ideas.                
                

            
                I subscribe to Ronald Reagan’s philosophy, “It’s amazing what you can get accomplished so long as you don’t worry about who gets the credit.” So as long as real reforms get passed, I don’t care who gets the credit.                 
                

            
                Although I must say that some analysts are now trying to co-opt this issue.                 
                

            
                I did find it quite funny as I listened to MSNBC's Chris Matthews in his post-speech analysis say about this problem, “I have never heard any reference to it before in my life.”                 
                

            
                Is he living in a bubble?                 
                

            
                I guess he doesn’t watch ""60 Minutes,"" Fox News, or even programming on his own network! All of these media outlets did extensive coverage on the book. Or maybe he didn't read Newsweek, The Wall Street Journal, New York Times, etc. all of these publications wrote about it.                
                

            
                My hope, Mr. President is that congressional leaders of both parties will get these reforms done as quickly as possible so that we can prevent members of congress from enriching themselves in this way.                
                

            
                I must say, however, I was disappointed that you called for reforming Congress, but not your administration.                 
                

            
                In my book I point out that crony capitalism is a problem in the executive branch, too. (Maybe you skimmed over this part of the book?) In the State of Union address you continued to push government programs for green energy.                 
                

            
                But in Chapter 5 of ""Throw Them All Out,"" I demonstrated in great detail how your Department of Energy sent most of this money to wealthy individuals who funded your campaign in 2008.                 
                

            
                I found at least 10 members of your national finance committee and at least a dozen bundlers who got sweetheart deals. (You can find the names in my book on pages 88, 100-1. I’m sure these names will be familiar to you. They are the same people who are currently raising money for your reelection.)                
                

            
                Yes, it’s good that you took on congressional insider trading. Thank you for doing so. But why not also deal with crony capitalism in your administration? I hope you are not going to use this push for reform just to score political points.

Sincerely,                 
                

            
                Peter Schweizer                
                

            
                Peter Schweizer is author of several books. His latest book is ""Throw Them All Out"" (Houghton Mifflin Harcourt 2011).                
                

            

            
                
                    
                
                


 

	Peter Schweizer is the president of the Government Accountability Institute and the author of Clinton Cash (Harper Collins 2015)."
David Bossie: The dirty little secret that is haunting Democrats,"close
						
	                    
	                        
	                   
	                   
	                            
		                            Democrats announce a new party agenda after 2016 loss
		                                James Rosen takes a look at the policies for 'Special Report'
	                        	
					 
				  
              
            
		 

    





								
								



 



       
       
      
          
              The Democratic Party is a mess. It has no effective national leader. It has no serious agenda. And Democrats have no idea how to win back the Rust Belt voters who propelled the ultimate political outsider, Donald J. Trump, to the presidency.
              
                  
                      
                  
                  
                      
                  
              
             
               
              
              
              


              
          
              During President Obama’s eight years in office the Democrats became primarily a coastal party that caters to out-of-touch wealthy elitists in liberal enclaves like Manhattan and Hollywood, while ignoring the hardworking Americans who are the backbone of our country.
              
             
               
              
              
              


              
          
              Democrats lost election after election during the Obama years, as voters strongly rejected the party’s bankrupt policies. In fact, according to a Fox News report, President Obama’s tenure was marked by an embarrassing “net loss of 1,042 state and federal Democratic posts, including congressional and state legislative seats, governorships and the presidency.”  
              
             
                           		
					
              
              
              
              


              
          
              Forgotten voters in states like Ohio, Pennsylvania, Wisconsin, Michigan, and North Carolina – whose families had voted for Democrats since President Franklin D. Roosevelt’s time – have finally had enough. They feel like they’ve lost their country and that their leaders in Washington have lost faith in them.
              
             
               
              
              
              

    

    

    
    	
	       	
	       	
		        
		            Americans hailing from states that President Trump carried have well-founded beliefs about what today’s Democrat Party stands for – and it’s not good.
					
		        
	        
        
    



              
          
              Then Donald Trump came into their communities, talking America First, American jobs, and American exceptionalism. Trump has backed those words up with an optimistic agenda anchored on the central promise to get Americans working again. The Make American Great Again effort is focused on reform: tax reform, trade reform, regulatory reform, domestic energy production reform, and health care reform.
              
             
               
              
              
              


              
          
              Just a few days ago, nine months since being shell-shocked by the epic Trump victory, the Democrats rolled out a new, weak agenda. Washington Democrats clearly felt pressure to put forth something – anything – new because their allies in the mainstream media told them they needed to put new wrapping paper on their old and failed ideas.
              
             
               
              
              
              


              
                  
                      
                  
              
          
              A recent Washington Post-ABC News poll showed that only 37 percent of the American people think that the Democratic Party stands for something. And 52 percent said all that the Democrats do is oppose President Trump. This polling data reflects reality. President Trump has been in office for six months and the Democrats up until now have done nothing more than run a permanent obstruction campaign against the president and his agenda.
              
             
               
              
              
              


              
          
              The truth is that Americans hailing from states that President Trump carried have well-founded beliefs about what today’s Democrat Party stands for – and it’s not good. These folks think that the Democrats are the party of big government, bureaucratic decision-making, high taxes, open borders, abortion on demand, and weakness around the globe. 
              
             
               
              
              
              


              
          
              I will go a step further and offer what I hear from the liberals in Washington and in the mainstream media about what I would call the real Democrat agenda:
              
             
               
              
              
              


              
          
               
 On health care, double down on the failing ObamaCare disaster. 

              
             
               
              
              
              


              
          
               
 On federal spending, continue to grow our $20 trillion national debt at an unsustainable rate. “Free” college, anyone?  

              
             
               
              
              
              


              
          
               
 On illegal immigration, protect sanctuary cities. 

              
             
               
              
              
              


              
          
               
 On taxes, keep them high because government bureaucrats know how to spend your hard-earned money better than you do. 

              
             
               
              
              
              


              
          
               
 On the Second Amendment and gun rights, disregard the Constitution and only allow criminals to have guns. 

              
             
               
              
              
              


              
          
               
 On terrorism, refuse to acknowledge the underlying problem: radical Islam. 

              
             
               
              
              
              


              
          
               
 On campaign finance reform, pretend to be against Super PACs, despite overwhelming evidence to the contrary. 

              
             
               
              
              
              


              
          
              This list represents the deep hole that Democrats have dug for themselves outside of their shrinking far-left base.
              
             
               
              
              
              


              
          
              The idea that ultra-liberals like House Minority Leader Nancy Pelosi of San Francisco, Senate Minority Leader Chuck Schumer of New York City,  Chicago Mayor Rahm Emanuel, Sen. Elizabeth Warren of Massachusetts, or Socialist Sen. Bernie Sanders of the People’s Republic of Vermont have any intention of fixing or even acknowledging the problems facing ordinary Americans is absurd.
              
             
               
              
              
              


              
          
              This is all an upside for Republicans, for President Trump’s America First agenda and for the president’s promise to prioritize the working men and women in America’s heartland.
              
             
               
              
              
              


              
          
  
          
              
              


 

	
		
			David N. Bossie is President of Citizens United, a Fox News Contributor and the former Deputy Campaign Manager for Donald Trump for President."
Democrats in freefall and destructive stupidity of GOP leadership is on full display,"Now Playing                            What could House passing immigration reform mean for GOP?                                                                                                
				    
			
		 

    






                        






    
        
        
        
            
                So. The Democrats are in freefall. Their ""landmark"" legislation -- ObamaCare, rammed through without a single Republican vote -- is in collapse. The president has been exposed as a liar (see: ""If you like your health plan, you can keep it. Period."").                                            ADVERTISEMENT                                    
                

            
                His poll numbers are tanking, from job approval to competency to trustworthiness to personal likability. The poll numbers for the Democrat Party are in the gutter as well, with the Republican Party now pulling ahead on the generic ballot.                
                

            
                [pullquote]                
                

            
                Democrats are fleeing the scene of their own accident, refusing to be seen with the president and distancing themselves from the wreck that is ObamaCare.                
                

            
                In other words, the Democrats are on the run, vulnerable, weak, and poised for a major defeat.                
                




    
    
    
    	
    		
    		
    		
		    	
		            More On This...
		            
		                
		                    
		                    

        
	    
	    	Why 2014 will be the year of immigration reform
	    	
	        
    


		                
		                    
		                    

        
	    
	    	Meet the new face of immigration reform
	    	
	        
    


		                
		                    
		                    

        
	    
	    	Hey GOP, here's how to win the immigration battle in 3 simple steps
	    	
	        
    


		                
		                
		            
		        
        	
        
    




            
                So what are the Republicans doing? Are they going for the jugular, attacking nonstop until November and showing no mercy? (In other words, acting like Democrats...) Of course not. They're Republicans. They are stepping in to help the Dems out.                 
                

            
                Instead of pounding ObamaCare and the president and the Democrats with the facts of an atrocious stab at socialized medicine and the lies they've used to push it, the GOP appears ready to snatch defeat from the jaws of victory by switching gears to the highly polarizing issue of immigration.                 
                

            
                Never mind that immigration doesn't even score more than 2 percent in polls asking what the most important issue is to the country. Rather than let this sleeping dog lie (at least through November), the Republican leadership is jumping to the assistance of the Democrats by supporting amnesty.                
                

            
                Remember this CRITICAL POINT: For Obama and the left, no issue is about the stated issue. It's ALWAYS about something bigger and more profound – namely, as Obama put it in 2008, ""the fundamental transformation of the nation.""                 
                

            
                So, for the left, health care ""reform"" was never about health care or health insurance. It was only and always about using the huge health care sector (1/6th of the U.S. economy) as a lever to transform the broader economy into a European-style socialist model. For one simple reason: if the government controls your health care, the government controls you.                
                

            
                ObamaCare was never about your health care. It was about government power and control.                
                

            
                And so it is with immigration ""reform."" For Obama and the Left, it's not about actually dealing forcefully and effectively with the immigration issue.                 
                

            
                If that were the case, the administration would be faithfully enforcing the laws we have on the books. It is not.                 
                

            
                They seek this ""reform"" for one simple reason: because immigration is the final missing piece of the ""fundamental transformation of the nation.""                 
                

            
                If they can get amnesty for 12 million (who knows what the real number is? 12 million? 18 million? 30 million?) illegals, they know they’ve got the country in a headlock. Most Hispanics are natural Democrat voters.                
                

            
                Not all, obviously. Many believe in hard work, individual liberty, economic liberty, and obeying the law.                
                

            
                But the majority vote Democrat, and the party has been working hard to lock them into government dependency.                 
                

            
                If amnesty goes through, the Democrats will flood the zone with millions of more Democrat voters, possibly flip Texas blue, and get their long-sought-after permanent Democrat voting majority.                 
                

            
                If that happens, you will never again see a Ronald Reagan or a George W. Bush. You may never again see a GOP majority in Congress. The Republicans will be relegated to permanent minority status. And a shrinking one at that.                
                

            
                This is the goal of the Democrats. Why on earth would Republicans want to help them achieve it?                
                

            
                Because they think they'll be ""rewarded"" by Hispanic voters?                 
                

            
                That didn't happen after the 1986 amnesty. In fact, the percentage of Hispanics voting GOP actually went DOWN after that amnesty.                 
                

            
                To take the issue off the table? Forget it. As soon as the path to amnesty is in place, Democrats will accelerate the process to get them voting as fast as possible, so the ""issue"" will never be off the table for Republicans.                
                

            
                Obama and Nancy Pelosi and Harry Reid and Chuck Schumer and Organizing for Action and George Soros and Eva Longoria and everyone else on the extreme left must be laughing out loud at the pure, destructive stupidity of the Republicans. They've got the Democrats on the ropes, and they're throwing them a lifeline.                
                

            
                While strangling themselves right out of existence.                
                

            

            
                
                    
                
                


 

	Monica Crowley joined Fox News Channel (FNC) in 1998 as a political and international affairs analyst. She rejoined FNC as a contributor in 2008 after leaving in 2004."
